"Protein.family.LH","Occurrence"
"Thaumi_prot_LH_FAM000878","All Three"
"Thaumi_prot_LH_FAM000723_0","All Three"
"Thaumi_prot_LH_FAM001931","All Three"
"Thaumi_prot_LH_FAM003660","NV+NF"
"Thaumi_prot_LH_FAM003657","NV+NF"
"Thaumi_prot_LH_FAM000033","NV+NF"
"Thaumi_prot_LH_FAM001030_0","NV+NF"
"Thaumi_prot_LH_FAM002857","NV+NF"
"Thaumi_prot_LH_FAM001004","NV+NF"
"Thaumi_prot_LH_FAM001003","NV+NF"
"Thaumi_prot_LH_FAM001253_0","NV+NF"
"Thaumi_prot_LH_FAM000965","NV+NF"
"Thaumi_prot_LH_FAM002225","NV+NF"
"Thaumi_prot_LH_FAM001635","NV+NF"
"Thaumi_prot_LH_FAM002659","NV+NF"
"Thaumi_prot_LH_FAM000296","NV+NF"
"Thaumi_prot_LH_FAM000302","NV+NF"
"Thaumi_prot_LH_FAM001422","NV+NF"
"Thaumi_prot_LH_FAM001304","NV+NF"
"Thaumi_prot_LH_FAM002106","NV+NM"
"Thaumi_prot_LH_FAM000040_0","NV+NM"
"Thaumi_prot_LH_FAM000186_0","NV+NM"
"Thaumi_prot_LH_FAM001538","NV+NM"
"Thaumi_prot_LH_FAM000047_0","NV+NM"
"Thaumi_prot_LH_FAM003611","Only NV"
"Thaumi_prot_LH_FAM002176","Only NV"
"Thaumi_prot_LH_FAM003752","Only NV"
"Thaumi_prot_LH_FAM003474","Only NV"
"Thaumi_prot_LH_FAM003559","Only NV"
"Thaumi_prot_LH_FAM003479","Only NV"
"Thaumi_prot_LH_FAM008451","Only NV"
"Thaumi_prot_LH_FAM003477","Only NV"
"Thaumi_prot_LH_FAM003534","Only NV"
"Thaumi_prot_LH_FAM003659","Only NV"
"Thaumi_prot_LH_FAM000499_0","Only NV"
"Thaumi_prot_LH_FAM003501","Only NV"
"Thaumi_prot_LH_FAM002228","Only NV"
"Thaumi_prot_LH_FAM001413_0","Only NV"
"Thaumi_prot_LH_FAM002828","Only NV"
"Thaumi_prot_LH_FAM002293","Only NV"
"Thaumi_prot_LH_FAM002981","Only NV"
"Thaumi_prot_LH_FAM003647","Only NV"
"Thaumi_prot_LH_FAM002946","Only NV"
"Thaumi_prot_LH_FAM002948","Only NV"
"Thaumi_prot_LH_FAM003535","Only NV"
"Thaumi_prot_LH_FAM000499_1","Only NV"
"Thaumi_prot_LH_FAM002945","Only NV"
"Thaumi_prot_LH_FAM002979","Only NV"
"Thaumi_prot_LH_FAM002947","Only NV"
"Thaumi_prot_LH_FAM002984","Only NV"
"Thaumi_prot_LH_FAM002151","Only NV"
"Thaumi_prot_LH_FAM003543","Only NV"
"Thaumi_prot_LH_FAM003207","Only NV"
"Thaumi_prot_LH_FAM002951","Only NV"
"Thaumi_prot_LH_FAM008450","Only NV"
"Thaumi_prot_LH_FAM001734","Only NV"
"Thaumi_prot_LH_FAM002980","Only NV"
"Thaumi_prot_LH_FAM002982","Only NV"
"Thaumi_prot_LH_FAM003143","Only NV"
"Thaumi_prot_LH_FAM003658","Only NV"
"Thaumi_prot_LH_FAM001593","Only NV"
"Thaumi_prot_LH_FAM008548","Only NV"
"Thaumi_prot_LH_FAM000338","Only NV"
"Thaumi_prot_LH_FAM002804","Only NV"
"Thaumi_prot_LH_FAM002985","Only NV"
"Thaumi_prot_LH_FAM003226","Only NV"
"Thaumi_prot_LH_FAM002943","Only NV"
"Thaumi_prot_LH_FAM008551","Only NV"
"Thaumi_prot_LH_FAM001759","Only NV"
"Thaumi_prot_LH_FAM008550","Only NV"
"Thaumi_prot_LH_FAM003802","Only NV"
"Thaumi_prot_LH_FAM003704","Only NV"
"Thaumi_prot_LH_FAM003608","Only NV"
"Thaumi_prot_LH_FAM003609","Only NV"
"Thaumi_prot_LH_FAM008553","Only NV"
"Thaumi_prot_LH_FAM002992","Only NV"
"Thaumi_prot_LH_FAM008549","Only NV"
"Thaumi_prot_LH_FAM008764","Only NV"
"Thaumi_prot_LH_FAM002648","Only NV"
"Thaumi_prot_LH_FAM008668","Only NV"
"Thaumi_prot_LH_FAM008731","Only NV"
"Thaumi_prot_LH_FAM001475","Only NV"
"Thaumi_prot_LH_FAM003607","Only NV"
"Thaumi_prot_LH_FAM002725","Only NV"
"Thaumi_prot_LH_FAM002944","Only NV"
"Thaumi_prot_LH_FAM001540","Only NV"
"Thaumi_prot_LH_FAM003793","Only NV"
"Thaumi_prot_LH_FAM003695","Only NV"
"Thaumi_prot_LH_FAM002807","Only NV"
"Thaumi_prot_LH_FAM003610","Only NV"
"Thaumi_prot_LH_FAM002803","Only NV"
"Thaumi_prot_LH_FAM002949","Only NV"
"Thaumi_prot_LH_FAM001011","Only NV"
"Thaumi_prot_LH_FAM001471","Only NV"
"Thaumi_prot_LH_FAM008667","Only NV"
"Thaumi_prot_LH_FAM001463","Only NV"
"Thaumi_prot_LH_FAM003065","Only NV"
"Thaumi_prot_LH_FAM008649","Only NV"
"Thaumi_prot_LH_FAM003862","Only NV"
"Thaumi_prot_LH_FAM002844","Only NV"
"Thaumi_prot_LH_FAM003480","Only NV"
"Thaumi_prot_LH_FAM002987","Only NV"
"Thaumi_prot_LH_FAM002970","Only NV"
"Thaumi_prot_LH_FAM002848","Only NV"
"Thaumi_prot_LH_FAM002969","Only NV"
"Thaumi_prot_LH_FAM001048","Only NV"
"Thaumi_prot_LH_FAM003229","Only NV"
"Thaumi_prot_LH_FAM002745","Only NV"
"Thaumi_prot_LH_FAM000304","Only NV"
"Thaumi_prot_LH_FAM008521","Only NV"
"Thaumi_prot_LH_FAM008453","Only NV"
"Thaumi_prot_LH_FAM001477","Only NV"
"Thaumi_prot_LH_FAM002795","Only NV"
"Thaumi_prot_LH_FAM003830","Only NV"
"Thaumi_prot_LH_FAM008622","Only NV"
"Thaumi_prot_LH_FAM003225","Only NV"
"Thaumi_prot_LH_FAM003853","Only NV"
"Thaumi_prot_LH_FAM003132","Only NV"
"Thaumi_prot_LH_FAM001010","Only NV"
"Thaumi_prot_LH_FAM003774","Only NV"
"Thaumi_prot_LH_FAM003015","Only NV"
"Thaumi_prot_LH_FAM003478","Only NV"
"Thaumi_prot_LH_FAM002950","Only NV"
"Thaumi_prot_LH_FAM002967","Only NV"
"Thaumi_prot_LH_FAM003841","Only NV"
"Thaumi_prot_LH_FAM008662","Only NV"
"Thaumi_prot_LH_FAM003572","Only NV"
"Thaumi_prot_LH_FAM003070","Only NV"
"Thaumi_prot_LH_FAM002440","Only NV"
"Thaumi_prot_LH_FAM003235","Only NV"
"Thaumi_prot_LH_FAM003504","Only NV"
"Thaumi_prot_LH_FAM003630","Only NV"
"Thaumi_prot_LH_FAM008791","Only NV"
"Thaumi_prot_LH_FAM002356","Only NV"
"Thaumi_prot_LH_FAM003575","Only NV"
"Thaumi_prot_LH_FAM003880","Only NV"
"Thaumi_prot_LH_FAM008665","Only NV"
"Thaumi_prot_LH_FAM003692","Only NV"
"Thaumi_prot_LH_FAM001473","Only NV"
"Thaumi_prot_LH_FAM003783","Only NV"
"Thaumi_prot_LH_FAM002971","Only NV"
"Thaumi_prot_LH_FAM003822","Only NV"
"Thaumi_prot_LH_FAM003001","Only NV"
"Thaumi_prot_LH_FAM008538","Only NV"
"Thaumi_prot_LH_FAM002396","Only NV"
"Thaumi_prot_LH_FAM002556","Only NV"
"Thaumi_prot_LH_FAM001476","Only NV"
"Thaumi_prot_LH_FAM002974","Only NV"
"Thaumi_prot_LH_FAM000877","Only NV"
"Thaumi_prot_LH_FAM001503","Only NV"
"Thaumi_prot_LH_FAM003232","Only NV"
"Thaumi_prot_LH_FAM002661","Only NV"
"Thaumi_prot_LH_FAM002622","Only NV"
"Thaumi_prot_LH_FAM003425","Only NV"
"Thaumi_prot_LH_FAM008532","Only NV"
"Thaumi_prot_LH_FAM001050","Only NV"
"Thaumi_prot_LH_FAM003487","Only NV"
"Thaumi_prot_LH_FAM008539","Only NV"
"Thaumi_prot_LH_FAM003270","Only NV"
"Thaumi_prot_LH_FAM000665","Only NV"
"Thaumi_prot_LH_FAM002957","Only NV"
"Thaumi_prot_LH_FAM002662","Only NV"
"Thaumi_prot_LH_FAM003511","Only NV"
"Thaumi_prot_LH_FAM002968","Only NV"
"Thaumi_prot_LH_FAM002956","Only NV"
"Thaumi_prot_LH_FAM002660","Only NV"
"Thaumi_prot_LH_FAM003349","Only NV"
"Thaumi_prot_LH_FAM001776","Only NV"
"Thaumi_prot_LH_FAM002669","Only NV"
"Thaumi_prot_LH_FAM001756","Only NV"
"Thaumi_prot_LH_FAM001468","Only NV"
"Thaumi_prot_LH_FAM002879","Only NV"
"Thaumi_prot_LH_FAM002641","Only NV"
"Thaumi_prot_LH_FAM002248","Only NV"
"Thaumi_prot_LH_FAM008799","Only NV"
"Thaumi_prot_LH_FAM003663","Only NV"
"Thaumi_prot_LH_FAM008632","Only NV"
"Thaumi_prot_LH_FAM000351","Only NV"
"Thaumi_prot_LH_FAM003067","Only NV"
"Thaumi_prot_LH_FAM001737","Only NV"
"Thaumi_prot_LH_FAM002997","Only NV"
"Thaumi_prot_LH_FAM001469","Only NV"
"Thaumi_prot_LH_FAM000700","Only NV"
"Thaumi_prot_LH_FAM008531","Only NV"
"Thaumi_prot_LH_FAM003641","Only NV"
"Thaumi_prot_LH_FAM003571","Only NV"
"Thaumi_prot_LH_FAM002357","Only NV"
"Thaumi_prot_LH_FAM000324","Only NV"
"Thaumi_prot_LH_FAM008661","Only NV"
"Thaumi_prot_LH_FAM002773","Only NV"
"Thaumi_prot_LH_FAM008728","Only NV"
"Thaumi_prot_LH_FAM003633","Only NV"
"Thaumi_prot_LH_FAM003730","Only NV"
"Thaumi_prot_LH_FAM003275","Only NV"
"Thaumi_prot_LH_FAM003158","Only NV"
"Thaumi_prot_LH_FAM003708","Only NV"
"Thaumi_prot_LH_FAM003766","Only NV"
"Thaumi_prot_LH_FAM003009","Only NV"
"Thaumi_prot_LH_FAM001465","Only NV"
"Thaumi_prot_LH_FAM003786","Only NV"
"Thaumi_prot_LH_FAM001362","Only NV"
"Thaumi_prot_LH_FAM003785","Only NV"
"Thaumi_prot_LH_FAM003787","Only NV"
"Thaumi_prot_LH_FAM002617","Only NV"
"Thaumi_prot_LH_FAM003269","Only NV"
"Thaumi_prot_LH_FAM002637","Only NV"
"Thaumi_prot_LH_FAM000394","Only NV"
"Thaumi_prot_LH_FAM001281","Only NV"
"Thaumi_prot_LH_FAM003552","Only NV"
"Thaumi_prot_LH_FAM003748","Only NV"
"Thaumi_prot_LH_FAM000957","Only NV"
"Thaumi_prot_LH_FAM003215","Only NV"
"Thaumi_prot_LH_FAM003677","Only NV"
"Thaumi_prot_LH_FAM000977","Only NV"
"Thaumi_prot_LH_FAM008566","Only NV"
"Thaumi_prot_LH_FAM002634","Only NV"
"Thaumi_prot_LH_FAM002788","Only NV"
"Thaumi_prot_LH_FAM002860","Only NV"
"Thaumi_prot_LH_FAM001280","Only NV"
"Thaumi_prot_LH_FAM004047","Only NF"
"Thaumi_prot_LH_FAM004880","Only NF"
"Thaumi_prot_LH_FAM005650","Only NF"
"Thaumi_prot_LH_FAM004854","Only NF"
"Thaumi_prot_LH_FAM001423","Only NF"
"Thaumi_prot_LH_FAM004042","Only NF"
"Thaumi_prot_LH_FAM013369","Only NF"
"Thaumi_prot_LH_FAM004264","Only NF"
"Thaumi_prot_LH_FAM002477","Only NF"
"Thaumi_prot_LH_FAM013279","Only NF"
"Thaumi_prot_LH_FAM004213","Only NF"
"Thaumi_prot_LH_FAM002859","Only NF"
"Thaumi_prot_LH_FAM001303","Only NF"
"Thaumi_prot_LH_FAM003681","Only NF"
"Thaumi_prot_LH_FAM013064","Only NF"
"Thaumi_prot_LH_FAM001421","Only NF"
"Thaumi_prot_LH_FAM004358","Only NF"
"Thaumi_prot_LH_FAM002772","Only NF"
"Thaumi_prot_LH_FAM004418","Only NF"
"Thaumi_prot_LH_FAM013177","Only NF"
"Thaumi_prot_LH_FAM004211","Only NF"
"Thaumi_prot_LH_FAM013146","Only NF"
"Thaumi_prot_LH_FAM000301","Only NF"
"Thaumi_prot_LH_FAM001349","Only NF"
"Thaumi_prot_LH_FAM000679","Only NF"
"Thaumi_prot_LH_FAM004006","Only NF"
"Thaumi_prot_LH_FAM000886","Only NF"
"Thaumi_prot_LH_FAM000303","Only NF"
"Thaumi_prot_LH_FAM013293","Only NF"
"Thaumi_prot_LH_FAM004599","Only NF"
"Thaumi_prot_LH_FAM004336","Only NF"
"Thaumi_prot_LH_FAM013166","Only NF"
"Thaumi_prot_LH_FAM004869","Only NF"
"Thaumi_prot_LH_FAM003091","Only NF"
"Thaumi_prot_LH_FAM003106","Only NF"
"Thaumi_prot_LH_FAM004033","Only NF"
"Thaumi_prot_LH_FAM004925","Only NF"
"Thaumi_prot_LH_FAM002866","Only NF"
"Thaumi_prot_LH_FAM003750","Only NF"
"Thaumi_prot_LH_FAM004872","Only NF"
"Thaumi_prot_LH_FAM003200","Only NF"
"Thaumi_prot_LH_FAM000526","Only NF"
"Thaumi_prot_LH_FAM004117","Only NF"
"Thaumi_prot_LH_FAM004850","Only NF"
"Thaumi_prot_LH_FAM002640","Only NF"
"Thaumi_prot_LH_FAM002988","Only NF"
"Thaumi_prot_LH_FAM013264","Only NF"
"Thaumi_prot_LH_FAM013089","Only NF"
"Thaumi_prot_LH_FAM002053","Only NF"
"Thaumi_prot_LH_FAM002696","Only NF"
"Thaumi_prot_LH_FAM001700","Only NF"
"Thaumi_prot_LH_FAM003968","Only NF"
"Thaumi_prot_LH_FAM004219","Only NF"
"Thaumi_prot_LH_FAM004009","Only NF"
"Thaumi_prot_LH_FAM000727","Only NF"
"Thaumi_prot_LH_FAM013081","Only NF"
"Thaumi_prot_LH_FAM003538","Only NF"
"Thaumi_prot_LH_FAM003874","Only NF"
"Thaumi_prot_LH_FAM002817","Only NF"
"Thaumi_prot_LH_FAM013082","Only NF"
"Thaumi_prot_LH_FAM001188","Only NF"
"Thaumi_prot_LH_FAM001237","Only NF"
"Thaumi_prot_LH_FAM002615","Only NF"
"Thaumi_prot_LH_FAM000718","Only NF"
"Thaumi_prot_LH_FAM004472","Only NF"
"Thaumi_prot_LH_FAM004666","Only NF"
"Thaumi_prot_LH_FAM000982","Only NF"
"Thaumi_prot_LH_FAM003951","Only NF"
"Thaumi_prot_LH_FAM002611","Only NF"
"Thaumi_prot_LH_FAM004487","Only NF"
"Thaumi_prot_LH_FAM000017","Only NF"
"Thaumi_prot_LH_FAM005658","Only NF"
"Thaumi_prot_LH_FAM013101","Only NF"
"Thaumi_prot_LH_FAM000987","Only NF"
"Thaumi_prot_LH_FAM001658","Only NF"
"Thaumi_prot_LH_FAM004852","Only NF"
"Thaumi_prot_LH_FAM001027","Only NF"
"Thaumi_prot_LH_FAM002665","Only NF"
"Thaumi_prot_LH_FAM013371","Only NF"
"Thaumi_prot_LH_FAM004351","Only NF"
"Thaumi_prot_LH_FAM004408","Only NF"
"Thaumi_prot_LH_FAM004322","Only NF"
"Thaumi_prot_LH_FAM004342","Only NF"
"Thaumi_prot_LH_FAM003013","Only NF"
"Thaumi_prot_LH_FAM004535","Only NF"
"Thaumi_prot_LH_FAM004559","Only NF"
"Thaumi_prot_LH_FAM002779","Only NF"
"Thaumi_prot_LH_FAM004875","Only NF"
"Thaumi_prot_LH_FAM004245","Only NF"
"Thaumi_prot_LH_FAM001341","Only NF"
"Thaumi_prot_LH_FAM000944","Only NF"
"Thaumi_prot_LH_FAM003080","Only NF"
"Thaumi_prot_LH_FAM002400","Only NF"
"Thaumi_prot_LH_FAM003701","Only NF"
"Thaumi_prot_LH_FAM004887","Only NF"
"Thaumi_prot_LH_FAM000321","Only NF"
"Thaumi_prot_LH_FAM000213","Only NF"
"Thaumi_prot_LH_FAM000014","Only NF"
"Thaumi_prot_LH_FAM004819","Only NF"
"Thaumi_prot_LH_FAM004159","Only NF"
"Thaumi_prot_LH_FAM000259","Only NF"
"Thaumi_prot_LH_FAM004011_0","Only NF"
"Thaumi_prot_LH_FAM006547","Only NM"
"Thaumi_prot_LH_FAM000095","Only NM"
"Thaumi_prot_LH_FAM000229","Only NM"
"Thaumi_prot_LH_FAM006598","Only NM"
"Thaumi_prot_LH_FAM002016","Only NM"
"Thaumi_prot_LH_FAM006573","Only NM"
"Thaumi_prot_LH_FAM006569","Only NM"
"Thaumi_prot_LH_FAM002100","Only NM"
"Thaumi_prot_LH_FAM001871","Only NM"
"Thaumi_prot_LH_FAM002099","Only NM"
"Thaumi_prot_LH_FAM000595","Only NM"
"Thaumi_prot_LH_FAM000348_0","Only NM"
"Thaumi_prot_LH_FAM002101","Only NM"
"Thaumi_prot_LH_FAM001602","Only NM"
"Thaumi_prot_LH_FAM000069","Only NM"
"Thaumi_prot_LH_FAM006581","Only NM"
"Thaumi_prot_LH_FAM001992","Only NM"
"Thaumi_prot_LH_FAM000922","Only NM"
"Thaumi_prot_LH_FAM001046","Only NM"
"Thaumi_prot_LH_FAM000730","Only NM"
"Thaumi_prot_LH_FAM001074","Only NM"
"Thaumi_prot_LH_FAM001971","Only NM"
"Thaumi_prot_LH_FAM001069","Only NM"
"Thaumi_prot_LH_FAM001852","Only NM"
"Thaumi_prot_LH_FAM006582","Only NM"
"Thaumi_prot_LH_FAM001865","Only NM"
"Thaumi_prot_LH_FAM001268","Only NM"
"Thaumi_prot_LH_FAM006608","Only NM"
"Thaumi_prot_LH_FAM001819","Only NM"
"Thaumi_prot_LH_FAM006606","Only NM"
"Thaumi_prot_LH_FAM001993","Only NM"
"Thaumi_prot_LH_FAM000159","Only NM"
"Thaumi_prot_LH_FAM000712","Only NM"
"Thaumi_prot_LH_FAM001075","Only NM"
"Thaumi_prot_LH_FAM001900","Only NM"
"Thaumi_prot_LH_FAM006583","Only NM"
"Thaumi_prot_LH_FAM001520","Only NM"
"Thaumi_prot_LH_FAM000980","Only NM"
"Thaumi_prot_LH_FAM002096","Only NM"
"Thaumi_prot_LH_FAM002021","Only NM"
"Thaumi_prot_LH_FAM000257","Only NM"
"Thaumi_prot_LH_FAM001818","Only NM"
"Thaumi_prot_LH_FAM001953","Only NM"
"Thaumi_prot_LH_FAM002121","Only NM"
"Thaumi_prot_LH_FAM006549","Only NM"
"Thaumi_prot_LH_FAM001677","Only NM"
"Thaumi_prot_LH_FAM001627","Only NM"
"Thaumi_prot_LH_FAM001987","Only NM"
"Thaumi_prot_LH_FAM006580","Only NM"
"Thaumi_prot_LH_FAM006605","Only NM"
"Thaumi_prot_LH_FAM001828","Only NM"
"Thaumi_prot_LH_FAM000271","Only NM"
"Thaumi_prot_LH_FAM000377","Only NM"
"Thaumi_prot_LH_FAM006597","Only NM"
"Thaumi_prot_LH_FAM000379","Only NM"
"Thaumi_prot_LH_FAM000433","Only NM"
"Thaumi_prot_LH_FAM002119","Only NM"
"Thaumi_prot_LH_FAM000147","Only NM"
"Thaumi_prot_LH_FAM001886","Only NM"
"Thaumi_prot_LH_FAM002008","Only NM"
"Thaumi_prot_LH_FAM006604","Only NM"
"Thaumi_prot_LH_FAM006576","Only NM"
"Thaumi_prot_LH_FAM001045","Only NM"
"Thaumi_prot_LH_FAM001380","Only NM"
"Thaumi_prot_LH_FAM000233_0","Only NM"
"Thaumi_prot_LH_FAM000588","Only NM"
"Thaumi_prot_LH_FAM000432","Only NM"
"Thaumi_prot_LH_FAM001514","Only NM"
"Thaumi_prot_LH_FAM002074","Only NM"
"Thaumi_prot_LH_FAM001910","Only NM"
"Thaumi_prot_LH_FAM001978","Only NM"
"Thaumi_prot_LH_FAM000961","Only NM"
"Thaumi_prot_LH_FAM000133_0","Only NM"
"Thaumi_prot_LH_FAM000593","Only NM"
"Thaumi_prot_LH_FAM000592","Only NM"
"Thaumi_prot_LH_FAM000975","Only NM"
"Thaumi_prot_LH_FAM000734","Only NM"
"Thaumi_prot_LH_FAM001292","Only NM"
"Thaumi_prot_LH_FAM001528","Only NM"
"Thaumi_prot_LH_FAM006566","Only NM"
"Thaumi_prot_LH_FAM001094","Only NM"
"Thaumi_prot_LH_FAM000087","Only NM"
"Thaumi_prot_LH_FAM000876","Only NM"
